Marca,Coleção,Segmento,Ano/série/Módulo,Volume,Componente,Código,Nome,Categoria,Ativo no bigodão?,Avaliações,Coluna1,Link,Tipologia,Escala de qualidade,Nota,SAMR,Sugestões de melhorias ou observações sobre a exclusão,Reutilizado?,Onde?,Reaproveitado em algum material em 2025/2026?,
SAE,2024,AI,2,L3,ING,EF21_2_ING_L3_U4_01_OD1,Wild Animals,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_2_ING_L3_U4_01_OD1,-,Básico,5,Ampliação,Colocar as letras em ordem alfabética para que não seja um problema encontrá-las. Incluir locução das palavras cada vez que o aluno conseguir preenchê-las.,,,,
SAE,2024,AI,5,L3,ING,EF21_5_ING_L3_U2_02_OD1,Months of the year,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_5_ING_L3_U2_02_OD1,-,,,,,,,,
SAE,2024,AI,5,L4,ING,EF22_5_ING_L4_U2_01_OD1,What time is it?,-,SIM,"4,5",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_5_ING_L4_U2_01_OD1,-,,,,,,,,
SAE,2024,AI,5,L1,ESP,EF22_5_ESP_L1_U2_01_OD1,¿Qué horas es?,-,NÃO,"3,667",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_5_ESP_L1_U2_01_OD1,-,,,,,,,,
SAE,2024,AF,6,L3,ESP,EF21_6_ESP_L3_U1_02_OD1,Pronombres interrogativos,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_6_ESP_L3_U1_02_OD1,-,Básico,5,Ampliação,-,,,,
SAE,2024,AI,1,L4,HIS,EF22_1_HIS_L4_U4_01_OD1,FESTAS EM FAMÍLIA,-,SIM,"4,333",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_1_HIS_L4_U4_01_OD1,-,Reprovado,N/A,N/A,Não há vantagem sobre o impresso,,,HIS 12 CAP.6,
SAE,2024,AF,9,L4,MAT,EF22_9_MAT_L4_U9_01_OD4,Transformação de unidades,-,SIM,4,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_9_MAT_L4_U9_01_OD4,-,,,,,,,,
SAE,2024,AF,6,L4,POR,EF22_6_POR_L4_U7_02_OD2,"ONDE, AONDE E DONDE; HÁ E A",-,SIM,"4,235",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_6_POR_L4_U7_02_OD2,-,Básico,5,Substituição,-,,,,
SAE,2024,AI,1,L4,CIE,EF22_1_CIE_L4_U4_02_OD1,Contando o tempo,-,SIM,"3,65",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_1_CIE_L4_U4_02_OD1,-,Bom,10,Ampliação,n/a,,,HIS 21 CAP 3,
SAE,2024,AI,2,L2,MAT,EF22_2_MAT_L2_U3_01_OD2,Direita e Esquerda,-,NÃO,"4,25",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_2_MAT_L2_U3_01_OD2,-,Reprovado,N/A,N/A,Recurso confuso e não apresenta vantagem sobre o impresso.,,,,
SAE,2024,AF,6,L2,ART,EF22_6_ART_L2_U2_04_OD2,Passos de dança,-,NÃO,"3,778",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_6_ART_L2_U2_04_OD2,-,Reprovado,N/A,N/A,Não há vantagem sobre o impresso,,,,
SAE,2024,AF,8,L3,ESP,EF21_8_ESP_L3_U3_01_OD1,FIESTAS POPULARES,-,NÃO,"1,889",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_8_ESP_L3_U3_01_OD1,-,,,,,,,,
SAE,2024,AI,4,L4,ING,EF22_4_ING_L4_U2_02_OD1,FURNITURE AND APPLIANCES,-,SIM,4,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_4_ING_L4_U2_02_OD1,-,,,,,,,,
SAE,2024,AF,6,L1,ING,EF22_6_ING_L1_U1_01_OD2,School objects and colors,-,NÃO,"4,46",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_6_ING_L1_U1_01_OD2,Game educacional,Adequado,8,Ampliação,"Alguns alunos comentaram que a atividade é boa, mas é fácil. Acredito que seja possível incluir duas escolhas para ele, a cor e o nome do objeto.",,,,
SAE,2024,AF,7,L4,GEO,EF22_7_GEO_L4_U7_01_OD1,Agentes modeladores do relevo,-,SIM,"3,415",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_7_GEO_L4_U7_01_OD1,-,,,,,,,,
SAE,2024,AI,4,L3,ING,EF21_4_ING_L3_U3_02_OD1,Philharmonia Orchestra,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_4_ING_L3_U3_02_OD1,-,,,,,,,,
SAE,2024,AF,7,L1,POR,EF22_7_POR_L1_U2_03_OD1,TEXTOS PRESCRITIVOS,-,SIM,"4,5",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_7_POR_L1_U2_03_OD1,Informativo,,,,,,,,
SAE,-,-,-,-,-,EXT24_3_MAT_L3_B_15_OD1,Sistemas lineares,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EXT24_3_MAT_L3_B_15_OD1,-,-,-,-,-,-,-,,
SAE,2024,AI,1,L1,FIL,EF22_1_FIL_L1_U1_02_OD1,PENSANDO SOBRE A FILOSOFIA,-,NÃO,"3,8",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_1_FIL_L1_U1_02_OD1,Clique e arrasta,Reprovado,N/A,N/A,Pouca intencionalidade pedagógica,,,,
SAE,-,-,-,-,-,EXT24_3_POR_L1_A_05_OD1,"Identificação, em diferentes textos, do tipo de descrição utilizada",-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EXT24_3_POR_L1_A_05_OD1,-,-,-,-,-,-,-,,
SAE,2024,AF,9,L3,FIL,EF21_9_FIL_L3_U3_01_OD1,Os três poderes,-,NÃO,"3,625",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_9_FIL_L3_U3_01_OD1,-,,,,,,,,
SAE,2024,AI,2,L2,POR,EF22_2_POR_L2_U3_01_OD1,Palavras com F ou V,-,NÃO,"4,172",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_2_POR_L2_U3_01_OD1,-,Básico,5,Ampliação,"Incluir um quiz para treinar a escrita, conforme orientado pela personagem ao final do vídeo.",,,,
